Temperature,Wind power,Wind speed,Day sin,Day cos
0.3613989637305699,0.0,0.37254901960784315,0.017037086856050487,0.37059047744655776
0.3538860103626943,0.0,0.4130718954248366,0.0,0.49999999999510225
0.3427461139896373,0.0,0.4424836601307189,0.017037086855398398,0.6294095225510086
0.32772020725388595,0.0,0.43660130718954243,0.06698729810633086,0.7499999999974888
0.31088082901554404,0.0,0.4313725490196078,0.14644660940280985,0.8535533905893573
0.30259067357512953,0.0,0.4013071895424836,0.24999999999921924,0.9330127018917685
0.29663212435233155,0.0,0.4019607843137255,0.37059047744531975,0.9829629131436177
0.29222797927461136,0.0,0.3915032679738562,0.49999999999382055,1.0
0.28834196891191705,0.0,0.38235294117647056,0.6294095225497706,0.9829629131449333
0.2844559585492228,0.0,0.39673202614379083,0.7499999999963789,0.93301270189431
0.2813471502590673,0.0,0.41045751633986927,0.8535533905884511,0.8535533905980964
0.28082901554404144,0.0,0.40653594771241824,0.9330127018911276,0.7500000000018907
0.2816062176165803,0.0,0.41764705882352937,0.9829629131432861,0.6294095225559182
0.283419689119171,0.0,0.4339869281045751,1.0,0.5000000000001852
0.2930051813471502,0.0,0.4457516339869281,0.9829629131452651,0.37059047745146745
0.29844559585492225,0.0,0.47124183006535947,0.9330127018949508,0.2500000000047311
0.3031088082901554,0.0,0.44836601307189544,0.8535533905938578,0.1464466094073103
0.3093264248704663,0.0,0.4294117647058823,0.7500000000030007,0.06698729810951315
0.3139896373056995,0.0,0.4222222222222222,0.6294095225571562,0.017037086857045636
0.3152849740932642,0.0,0.41764705882352937,0.5000000000014668,0.0
0.3132124352331606,0.0,0.4241830065359477,0.37059047745270546,0.017037086854403194
0.3088082901554404,0.0,0.430718954248366,0.2500000000058411,0.06698729810440834
0.30284974093264244,0.0,0.42483660130718953,0.14644660940821658,0.1464466094052359
0.2955958549222798,0.0,0.41437908496732023,0.06698729811015397,0.24999999999588934
0.28575129533678756,0.0,0.39738562091503266,0.01703708685549421,0.3705904774486338
0.283419689119171,0.0,0.40522875816993464,0.0,0.4999999999972515
0.2849740932642487,0.0,0.4091503267973856,0.017037086854071515,0.6294095225460565
0.2873056994818653,0.0,0.42614379084967313,0.0669872981074055,0.7499999999993501
0.2898963730569948,0.0,0.44967320261437904,0.14644660940432963,0.8535533905908772
0.29119170984455955,0.0,0.4568627450980392,0.2499999999947794,0.9330127018892052
0.28911917098445594,0.0,0.4359477124183006,0.3705904774473958,0.982962913144174
0.2873056994818653,0.0,0.40588235294117647,0.49999999999596983,1.0
0.28471502590673575,0.0,0.3705882352941176,0.6294095225448185,0.9829629131462603
0.28290155440414505,0.0,0.34967320261437906,0.7499999999982402,0.9330127018932354
0.2810880829015544,0.0,0.3352941176470588,0.8535533905899708,0.8535533905965766
0.27901554404145074,0.0,0.32941176470588235,0.9330127018922023,0.7500000000000294
0.2769430051813471,0.0,0.3137254901960784,0.9829629131438423,0.6294095225538422
0.28005181347150254,0.0,0.3130718954248366,1.0,0.5000000000053119
0.2937823834196891,0.0,0.3326797385620915,0.9829629131447088,0.37059047744939144
0.305181347150259,0.0,0.3660130718954248,0.9330127018938762,0.2500000000028698
0.31010362694300514,0.0,0.3790849673202614,0.8535533905974829,0.1464466094109354
0.3132124352331606,0.0,0.38431372549019605,0.7500000000011393,0.06698729810843851
0.3132124352331606,0.0,0.38823529411764707,0.6294095225550802,0.01703708685648936
0.316580310880829,0.0,0.4084967320261438,0.5000000000065935,0.0
0.3196891191709844,0.0,0.41045751633986927,0.37059047745062945,0.01703708685495947
0.3217616580310881,0.0,0.41764705882352937,0.25000000000397976,0.06698729810548298
