Time,Temperature,Solar radiation,Wind speed,PV power,Wind power,Day sin,Day cos
28-03-2022 10:00,0.3404145077720207,0.3075117370892019,0.5379084967320261,0.5758928571428572,0.09432432432432433,0.7500000000051523,0.06698729811075538
28-03-2022 11:00,0.3663212435233161,0.33568075117370894,0.5379084967320261,0.7098214285714286,0.09756756756756757,0.629409522552528,0.017037086855805517
28-03-2022 12:00,0.3663212435233161,0.31103286384976525,0.5718954248366013,0.7946428571428572,0.07405405405405406,0.5000000000039513,0.0
28-03-2022 13:00,0.3663212435233161,0.25,0.6052287581699346,0.7678571428571429,0.06972972972972973,0.37059047745510526,0.017037086853760208
28-03-2022 14:00,0.3663212435233161,0.1643192488262911,0.5718954248366013,0.7633928571428572,0.08405405405405406,0.25000000000169154,0.0669872981068041
28-03-2022 15:00,0.3663212435233161,0.08568075117370892,0.5718954248366013,0.6205357142857143,0.08864864864864865,0.14644660940997334,0.14644660940347914
28-03-2022 16:00,0.3663212435233161,0.03169014084507042,0.5045751633986928,0.4089285714285715,0.1,0.06698729810775822,0.2500000000000389
28-03-2022 17:00,0.3404145077720207,0.0,0.4032679738562091,0.140625,0.1554054054054054,0.01703708685613725,0.37059047744623397
28-03-2022 18:00,0.3404145077720207,0.0,0.5045751633986928,0.002316964285714286,0.1635135135135135,0.0,0.4999999999947671
28-03-2022 19:00,0.3404145077720207,0.0,0.4372549019607843,0.0,0.09918918918918919,0.017037086855311634,0.6294095225506848
28-03-2022 20:00,0.3404145077720207,0.0,0.4032679738562091,0.0,0.08081081081081082,0.06698729810616327,0.7499999999971986
28-03-2022 21:00,0.3404145077720207,0.0,0.5045751633986928,0.0,0.07162162162162163,0.14644660940257287,0.8535533905891204
28-03-2022 22:00,0.3145077720207254,0.0,0.4372549019607843,0.0,0.05621621621621622,0.24999999999892897,0.933012701891601
28-03-2022 23:00,0.3145077720207254,0.0,0.5045751633986928,0.0,0.024405405405405405,0.37059047744499596,0.9829629131435311
29-03-2022 00:00,0.3145077720207254,0.0,0.4372549019607843,0.0,0.004756756756756756,0.4999999999934854,1.0
29-03-2022 01:00,0.3145077720207254,0.0,0.3359477124183006,0.0,0.004081081081081081,0.6294095225494467,0.9829629131450202
29-03-2022 02:00,0.28860103626943007,0.0,0.3359477124183006,0.0,0.004702702702702702,0.7499999999960886,0.9330127018944776
29-03-2022 03:00,0.28860103626943007,0.0,0.1679738562091503,0.0,0.005486486486486487,0.853553390593359,0.8535533905931886
29-03-2022 04:00,0.2626943005181347,0.0,0.1679738562091503,0.0,0.0036486486486486487,0.9330127018909601,0.750000000002181
29-03-2022 05:00,0.23678756476683938,0.0,0.134640522875817,0.00022723214285714287,0.025675675675675674,0.9829629131431994,0.6294095225562419
29-03-2022 06:00,0.21088082901554406,0.022300469483568074,0.0673202614379085,0.019776785714285715,0.07837837837837838,1.0,0.5000000000005204
29-03-2022 07:00,0.28860103626943007,0.0539906103286385,0.03333333333333333,0.09107142857142858,0.09324324324324325,0.9829629131453519,0.37059047745179124
29-03-2022 08:00,0.3145077720207254,0.10446009389671361,0.10065359477124183,0.2504464285714286,0.08486486486486487,0.9330127018951184,0.25000000000502137
29-03-2022 09:00,0.3145077720207254,0.1596244131455399,0.10065359477124183,0.4955357142857143,0.09648648648648649,0.8535533905940949,0.14644660940754733
