Time,Wind
22-03-2022 00:00,0.757
22-03-2022 01:00,0.251
22-03-2022 02:00,0.295
22-03-2022 03:00,0.272
22-03-2022 04:00,0.128
22-03-2022 05:00,0.744
22-03-2022 06:00,3.68
22-03-2022 07:00,5.02
22-03-2022 08:00,4.49
22-03-2022 09:00,4.45
22-03-2022 10:00,5.29
22-03-2022 11:00,4.8
22-03-2022 12:00,3.48
22-03-2022 13:00,2.92
22-03-2022 14:00,3.04
22-03-2022 15:00,3.38
22-03-2022 16:00,3.24
22-03-2022 17:00,3.11
22-03-2022 18:00,2.52
22-03-2022 19:00,1.85
22-03-2022 20:00,0.585
22-03-2022 21:00,0.51
22-03-2022 22:00,0.107
22-03-2022 23:00,0.0010400000000000001
23-03-2022 00:00,0.0
23-03-2022 01:00,0.0233
23-03-2022 02:00,0.000518
23-03-2022 03:00,0.0212
23-03-2022 04:00,0.199
23-03-2022 05:00,0.129
23-03-2022 06:00,0.348
23-03-2022 07:00,0.854
23-03-2022 08:00,1.05
23-03-2022 09:00,1.46
23-03-2022 10:00,1.48
23-03-2022 11:00,2.1
23-03-2022 12:00,2.28
23-03-2022 13:00,2.23
23-03-2022 14:00,1.95
23-03-2022 15:00,1.83
23-03-2022 16:00,0.978
23-03-2022 17:00,0.745
23-03-2022 18:00,0.138
23-03-2022 19:00,0.136
23-03-2022 20:00,0.12
23-03-2022 21:00,0.115
23-03-2022 22:00,0.123
23-03-2022 23:00,0.123
24-03-2022 00:00,0.123
24-03-2022 01:00,0.123
24-03-2022 02:00,0.000523
24-03-2022 03:00,0.00945
24-03-2022 04:00,0.0523
24-03-2022 05:00,0.0115
24-03-2022 06:00,0.0218
24-03-2022 07:00,0.09559999999999999
24-03-2022 08:00,0.622
24-03-2022 09:00,1.03
24-03-2022 10:00,1.23
24-03-2022 11:00,1.21
24-03-2022 12:00,1.22
24-03-2022 13:00,1.18
24-03-2022 14:00,1.58
24-03-2022 15:00,1.15
24-03-2022 16:00,0.43
24-03-2022 17:00,0.12
24-03-2022 18:00,0.117
24-03-2022 19:00,0.101
24-03-2022 20:00,0.0364
24-03-2022 21:00,0.0586
24-03-2022 22:00,0.0255
24-03-2022 23:00,0.285
25-03-2022 00:00,0.601
25-03-2022 01:00,0.608
25-03-2022 02:00,0.607
25-03-2022 03:00,0.588
25-03-2022 04:00,1.61
25-03-2022 05:00,3.2
25-03-2022 06:00,3.4
25-03-2022 07:00,2.67
25-03-2022 08:00,4.24
25-03-2022 09:00,4.48
25-03-2022 10:00,6.4
25-03-2022 11:00,7.04
25-03-2022 12:00,7.91
25-03-2022 13:00,8.41
25-03-2022 14:00,8.75
25-03-2022 15:00,8.3
25-03-2022 16:00,8.08
25-03-2022 17:00,7.17
25-03-2022 18:00,4.51
25-03-2022 19:00,4.81
25-03-2022 20:00,3.78
25-03-2022 21:00,2.19
25-03-2022 22:00,1.32
25-03-2022 23:00,1.26
26-03-2022 00:00,0.413
26-03-2022 01:00,0.0504
26-03-2022 02:00,0.0258
26-03-2022 03:00,0.00264
26-03-2022 04:00,0.00361
26-03-2022 05:00,0.0020800000000000003
26-03-2022 06:00,0.391
26-03-2022 07:00,1.42
26-03-2022 08:00,1.31
26-03-2022 09:00,1.3
26-03-2022 10:00,1.45
26-03-2022 11:00,1.68
26-03-2022 12:00,2.03
26-03-2022 13:00,2.05
26-03-2022 14:00,2.11
26-03-2022 15:00,1.57
26-03-2022 16:00,1.47
26-03-2022 17:00,1.56
26-03-2022 18:00,2.3
26-03-2022 19:00,1.78
26-03-2022 20:00,1.62
26-03-2022 21:00,1.25
26-03-2022 22:00,0.0777
26-03-2022 23:00,0.102
27-03-2022 00:00,0.21
27-03-2022 01:00,0.238
27-03-2022 02:00,0.203
27-03-2022 03:00,0.131
27-03-2022 04:00,0.164
27-03-2022 05:00,0.859
27-03-2022 06:00,3.15
27-03-2022 07:00,4.14
27-03-2022 08:00,4.78
27-03-2022 09:00,5.27
27-03-2022 10:00,4.59
27-03-2022 11:00,4.29
27-03-2022 12:00,4.25
27-03-2022 13:00,4.18
27-03-2022 14:00,3.96
27-03-2022 15:00,4.49
27-03-2022 16:00,4.49
27-03-2022 17:00,3.85
27-03-2022 18:00,4.23
27-03-2022 19:00,3.68
27-03-2022 20:00,3.58
27-03-2022 21:00,2.86
27-03-2022 22:00,2.59
27-03-2022 23:00,1.08
28-03-2022 00:00,0.468
28-03-2022 01:00,0.07840000000000001
28-03-2022 02:00,0.0663
28-03-2022 03:00,0.08170000000000001
28-03-2022 04:00,0.07690000000000001
28-03-2022 05:00,0.46
28-03-2022 06:00,1.02
28-03-2022 07:00,2.48
28-03-2022 08:00,3.25
28-03-2022 09:00,3.53
28-03-2022 10:00,3.49
28-03-2022 11:00,3.61
28-03-2022 12:00,2.74
28-03-2022 13:00,2.58
28-03-2022 14:00,3.11
28-03-2022 15:00,3.28
28-03-2022 16:00,3.7
28-03-2022 17:00,5.75
28-03-2022 18:00,6.05
28-03-2022 19:00,3.67
28-03-2022 20:00,2.99
28-03-2022 21:00,2.65
28-03-2022 22:00,2.08
28-03-2022 23:00,0.903
29-03-2022 00:00,0.176
29-03-2022 01:00,0.151
29-03-2022 02:00,0.174
29-03-2022 03:00,0.203
29-03-2022 04:00,0.135
29-03-2022 05:00,0.95
29-03-2022 06:00,2.9
29-03-2022 07:00,3.45
29-03-2022 08:00,3.14
29-03-2022 09:00,3.57
29-03-2022 10:00,3.76
